id,grade,date,teacher_id,student_id,lesson
1,4,2022/01/20,108,322,Miscellaneous
2,8,2022/06/13,126,75,Technology
3,10,2022/06/20,11,592,Health Care
4,9,2022/01/24,26,115,Energy
5,7,2022/06/24,107,76,Energy
6,5,2022/06/30,132,45,Technology
7,8,2022/07/21,21,112,Consumer Durables
8,9,2022/02/08,49,311,Health Care
9,4,2022/07/02,38,506,n/a
10,5,2022/03/19,113,58,Finance
11,9,2021/12/23,32,81,Basic Industries
12,6,2021/10/22,15,781,Technology
13,3,2022/05/30,119,7,Basic Industries
14,8,2021/12/14,111,162,Consumer Services
15,2,2022/02/23,126,823,Transportation
16,10,2022/01/08,71,700,Finance
17,2,2022/02/07,54,90,n/a
18,8,2022/02/27,19,904,Energy
19,4,2022/06/15,49,559,Consumer Services
20,9,2021/11/07,105,72,Technology
21,9,2022/01/19,5,316,Consumer Services
22,4,2021/11/26,143,333,n/a
23,9,2022/06/08,27,462,Technology
24,5,2022/01/07,77,46,n/a
25,4,2021/12/06,120,705,Finance
26,9,2022/03/24,2,31,n/a
27,10,2022/08/05,73,367,Finance
28,3,2022/03/08,71,98,Consumer Services
29,1,2022/05/28,41,485,Basic Industries
30,5,2022/01/20,6,824,Consumer Services
31,10,2022/02/05,41,592,n/a
32,10,2022/07/23,120,294,Consumer Durables
33,4,2022/01/06,142,96,Consumer Services
34,5,2022/05/01,125,433,n/a
35,3,2022/04/19,34,483,Health Care
36,7,2022/06/08,89,499,Finance
37,7,2022/07/04,127,681,Health Care
38,2,2022/05/27,11,646,n/a
39,8,2022/08/17,1,601,n/a
40,6,2022/07/27,71,352,Finance
41,7,2022/01/18,25,423,n/a
42,8,2021/11/03,129,298,Consumer Non-Durables
43,10,2022/08/16,36,619,Consumer Services
44,3,2022/03/19,84,887,Energy
45,2,2022/01/20,123,306,Miscellaneous
46,7,2022/06/13,31,561,Consumer Non-Durables
47,10,2022/07/19,26,528,Consumer Services
48,2,2022/03/27,80,771,n/a
49,9,2022/09/24,144,886,Energy
50,1,2022/05/01,97,56,Public Utilities
51,6,2021/11/27,118,755,Consumer Services
52,1,2021/11/05,17,129,Energy
53,9,2022/09/15,114,462,Technology
54,6,2022/06/29,81,411,Health Care
55,3,2022/02/01,14,214,Capital Goods
56,3,2022/01/07,114,604,Health Care
57,2,2022/03/07,146,994,n/a
58,8,2022/06/26,119,664,n/a
59,4,2022/06/23,9,283,Capital Goods
60,9,2022/08/05,100,668,Health Care
61,3,2022/02/17,73,818,Finance
62,6,2022/02/14,149,353,Consumer Services
63,7,2021/11/18,35,746,Finance
64,3,2022/05/12,135,444,Consumer Services
65,7,2021/10/21,142,614,Basic Industries
66,7,2021/11/08,128,555,Consumer Services
67,8,2022/10/17,37,133,Basic Industries
68,6,2022/02/02,136,457,Health Care
69,7,2022/02/11,90,792,n/a
70,9,2022/01/10,101,836,n/a
71,4,2021/12/14,82,19,Basic Industries
72,10,2022/04/04,2,838,Basic Industries
73,10,2022/01/10,12,243,Transportation
74,8,2022/08/08,92,880,Health Care
75,5,2022/10/15,78,483,Miscellaneous
76,5,2021/11/14,53,496,Consumer Non-Durables
77,4,2022/01/24,50,656,Health Care
78,3,2022/09/06,50,377,Health Care
79,4,2022/09/26,17,678,Finance
80,1,2021/11/17,78,514,Finance
81,9,2022/04/29,91,105,n/a
82,3,2022/06/12,26,933,Transportation
83,7,2021/10/23,145,977,Consumer Services
84,2,2022/08/26,123,558,Finance
85,5,2022/06/12,125,568,Health Care
86,7,2022/09/20,81,910,Public Utilities
87,6,2022/09/14,19,325,Miscellaneous
88,4,2022/08/06,76,160,n/a
89,6,2022/01/01,13,209,Capital Goods
90,5,2022/10/16,6,564,Capital Goods
91,9,2022/09/29,137,108,Capital Goods
92,5,2022/06/21,44,484,n/a
93,4,2022/06/07,132,268,Capital Goods
94,8,2022/06/01,143,250,Finance
95,2,2022/03/26,42,585,Energy
96,3,2021/11/14,115,368,Consumer Non-Durables
97,5,2022/10/13,22,979,n/a
98,4,2022/09/10,51,814,n/a
99,10,2022/05/31,131,620,n/a
100,1,2022/06/07,119,33,Capital Goods
101,1,2021/12/19,104,363,Technology
102,6,2022/05/21,127,863,n/a
103,6,2022/09/18,19,862,Health Care
104,4,2022/04/03,3,450,Public Utilities
105,10,2022/02/27,91,146,Basic Industries
106,4,2022/09/10,77,567,Miscellaneous
107,6,2022/08/18,29,63,Finance
108,2,2022/03/13,139,538,Finance
109,2,2022/04/18,117,762,Finance
110,2,2022/08/19,143,257,Finance
111,3,2022/07/04,62,862,Consumer Services
112,4,2022/07/19,24,179,Technology
113,10,2022/03/04,65,566,Health Care
114,5,2022/09/26,27,886,Finance
115,6,2022/10/12,97,728,Energy
116,5,2021/10/30,101,947,Consumer Services
117,5,2022/09/17,132,108,Consumer Services
118,3,2022/05/27,85,731,Public Utilities
119,7,2022/07/11,124,923,Energy
120,4,2021/12/03,140,304,Technology
121,1,2022/07/24,121,870,Finance
122,4,2022/10/03,21,966,Technology
123,3,2022/10/16,34,851,Basic Industries
124,7,2021/11/30,108,435,Finance
125,9,2022/08/17,50,455,n/a
