id,grade,date,teacher_id,student_id,lesson
1,10,2021/11/17,107,110,Finance
2,9,2022/04/21,8,752,Finance
3,7,2021/12/19,129,901,n/a
4,8,2022/01/05,135,120,Health Care
5,1,2021/11/24,107,447,Technology
6,5,2022/07/24,116,217,Consumer Services
7,4,2022/08/09,1,540,n/a
8,2,2022/09/21,50,677,n/a
9,7,2022/09/21,86,378,Capital Goods
10,6,2022/04/09,121,298,Technology
11,7,2022/02/20,37,860,Public Utilities
12,1,2022/10/06,134,543,Technology
13,10,2022/07/29,23,329,Finance
14,9,2022/02/05,126,286,Health Care
15,8,2022/03/14,50,805,Consumer Services
16,5,2022/01/08,117,467,Capital Goods
17,6,2021/11/03,33,542,Finance
18,1,2022/07/14,22,23,n/a
19,6,2022/03/29,128,789,Technology
20,3,2021/11/13,61,611,Public Utilities
21,3,2021/10/20,86,651,Public Utilities
22,2,2022/07/03,143,624,Capital Goods
23,3,2021/11/12,74,906,n/a
24,7,2022/06/06,106,482,Health Care
25,10,2022/03/12,16,257,Consumer Non-Durables
26,8,2022/03/21,100,541,Consumer Non-Durables
27,1,2021/11/14,30,413,Consumer Services
28,1,2022/02/07,150,523,n/a
29,5,2021/11/07,70,665,Finance
30,7,2022/03/04,49,403,Finance
31,5,2022/05/21,35,687,Energy
32,9,2022/06/04,107,943,Finance
33,9,2021/11/15,22,199,Finance
34,3,2022/06/22,119,844,Finance
35,5,2022/01/08,106,162,Consumer Non-Durables
36,3,2022/06/16,137,927,Finance
37,8,2021/12/18,62,172,Finance
38,6,2022/10/08,100,489,Health Care
39,5,2021/11/25,15,795,Finance
40,9,2022/03/19,120,608,Technology
41,4,2021/12/26,66,211,Capital Goods
42,8,2021/11/15,91,111,Finance
43,5,2022/04/02,43,575,Energy
44,9,2022/02/11,56,847,Consumer Non-Durables
45,3,2022/01/30,7,351,n/a
46,5,2022/08/11,104,21,Technology
47,8,2022/04/10,99,92,Finance
48,8,2022/05/08,16,61,n/a
49,8,2022/01/20,13,742,Finance
50,4,2021/10/25,38,165,Miscellaneous
51,3,2022/07/19,15,520,Finance
52,6,2022/09/14,72,546,Capital Goods
53,6,2022/04/09,80,796,Consumer Non-Durables
54,2,2022/06/06,75,912,Transportation
55,4,2022/08/25,64,998,Finance
56,6,2022/07/03,72,132,n/a
57,10,2022/08/14,71,77,n/a
58,1,2022/08/13,70,940,Capital Goods
59,7,2021/11/11,77,153,n/a
60,5,2022/05/02,129,619,n/a
61,9,2021/11/01,13,650,n/a
62,8,2022/08/30,108,731,Consumer Services
63,1,2022/04/20,122,706,Consumer Services
64,1,2022/07/25,31,813,Health Care
65,7,2022/04/10,60,694,Capital Goods
66,1,2022/04/28,141,949,Public Utilities
67,9,2022/05/27,35,758,Capital Goods
68,10,2021/11/14,144,9,Consumer Services
69,10,2022/06/29,124,933,Health Care
70,8,2022/01/23,100,558,Consumer Services
71,1,2021/11/28,66,275,n/a
72,5,2021/12/17,116,541,n/a
73,3,2022/02/13,133,25,Capital Goods
74,8,2022/01/31,55,444,Finance
75,8,2022/09/24,28,740,Consumer Services
76,4,2022/01/14,149,602,Miscellaneous
77,3,2022/03/29,32,795,Finance
78,3,2022/07/19,27,125,Technology
79,7,2022/05/14,85,6,Finance
80,5,2021/10/31,51,7,n/a
81,6,2022/06/07,100,157,n/a
82,2,2022/07/23,47,957,Consumer Non-Durables
83,9,2021/12/16,150,522,Technology
84,3,2022/10/11,118,596,Consumer Services
85,3,2021/11/07,19,699,n/a
86,8,2022/02/18,30,7,n/a
87,7,2022/04/10,138,806,Transportation
88,6,2022/01/13,135,746,Technology
89,6,2022/04/06,59,618,n/a
90,7,2022/03/21,85,721,Health Care
91,5,2022/07/19,60,363,Capital Goods
92,9,2021/11/20,58,850,Consumer Services
93,9,2021/12/13,120,337,Public Utilities
94,10,2021/11/09,64,978,n/a
95,6,2022/04/11,120,517,Consumer Services
96,10,2022/04/24,49,373,Consumer Services
97,9,2022/07/05,141,221,n/a
98,10,2022/02/05,118,508,n/a
99,2,2022/08/02,113,800,Capital Goods
100,8,2022/05/04,91,798,n/a
101,10,2022/01/21,130,857,Health Care
102,4,2021/12/10,100,775,Miscellaneous
103,5,2022/03/18,25,742,Public Utilities
104,5,2022/02/02,49,800,Consumer Services
105,10,2021/11/01,104,127,n/a
106,2,2022/04/16,133,785,Consumer Non-Durables
107,3,2022/09/05,9,690,Health Care
108,6,2022/06/04,11,417,Consumer Durables
109,3,2022/02/27,74,829,n/a
110,3,2021/11/10,66,219,Finance
111,3,2022/01/29,116,85,n/a
112,2,2022/06/04,49,978,Energy
113,7,2022/08/15,41,734,Energy
114,10,2021/12/19,68,825,Finance
115,10,2022/10/05,129,588,Technology
116,6,2022/09/02,60,614,n/a
117,6,2022/02/13,50,380,Health Care
118,1,2021/12/19,128,714,Technology
119,1,2022/09/21,23,849,n/a
120,6,2022/10/08,36,149,Energy
121,1,2022/04/22,147,85,Capital Goods
122,10,2022/07/21,72,403,Health Care
123,5,2021/12/22,32,123,Technology
124,4,2022/08/25,83,146,Consumer Services
125,2,2022/05/04,140,488,Public Utilities
126,5,2022/04/22,81,621,Health Care
127,6,2022/02/17,96,400,Finance
128,2,2022/03/16,53,777,n/a
129,5,2022/07/15,22,497,Technology
130,1,2022/04/07,115,449,Capital Goods
131,6,2022/05/03,118,362,n/a
